Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,769369823,9870.624662449067,34812,0.4466203059658828,0,6954336,89.22060416263218,147,0.0018859354526308378,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99300923,6749.256,553,0.038,0,121628,8.267,0,0,0
India,South-East Asia,44996059,3260.574,334,0.024,0,531918,38.545,1,0,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37717062,17744.244,0,0,0,704659,331.512,0,0,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,33554474,65447.645,20255,39.507,0,35411,69.069,0,0,0
Italy,Europe,25918253,43456.751,2187,3.667,0,191053,320.336,22,0.037,0
The United Kingdom,Europe,24656914,36321.057,518,0.763,0,228542,336.656,0,0,0
Russian Federation,Europe,22980206,15746.936,2932,2.009,0,399897,274.025,43,0.029,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Viet Nam,Western Pacific,11621997,11939.764,114,0.117,0,43206,44.387,0,0,0
Australia,Western Pacific,11560270,45334.598,0,0,0,22482,88.165,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8616664,49499.48,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633355,5920.416,0,0,0,334336,259.31,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7613070,9063.939,109,0.13,0,146316,174.2,5,0.006,0
Indonesia,South-East Asia,6813095,2490.862,55,0.02,0,161916,59.196,1,0,0
Poland,Europe,6518291,17172.315,68,0.179,0,119635,315.176,0,0,0
Colombia,Americas,6378000,12534.665,858,1.686,0,142961,280.961,19,0.037,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5597751,54368.691,0,0,0,27013,262.366,0,0,0
Ukraine,Europe,5518385,12618.136,0,0,0,109904,251.302,0,0,0
Greece,Europe,5348223,49896.819,0,0,0,37289,347.892,0,0,0
Chile,Americas,5289055,27667.919,264,1.381,0,61614,322.313,9,0.047,0
Malaysia,Western Pacific,5121920,15825.002,0,0,0,37181,114.877,0,0,0
Israel,Europe,4831826,55823.501,258,2.981,0,12598,145.548,0,0,0
Belgium,Europe,4802854,41682.612,1,0.009,0,34376,298.34,0,0,0
Thailand,South-East Asia,4755443,6812.958,268,0.384,0,34437,49.337,12,0.017,0
Canada,Americas,4697504,12446.306,0,0,0,53147,140.816,0,0,0
Czechia,Europe,4643190,43418.894,120,1.122,0,42813,400.348,0,0,0
Peru,Americas,4517034,13699.666,0,0,0,221364,671.373,0,0,0
Switzerland,Europe,4407773,50929.723,0,0,0,14028,162.087,0,0,0
Philippines,Western Pacific,4173631,3808.715,711,0.649,0,66626,60.801,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3414815,58645.956,141,2.422,0,8773,150.667,2,0.034,0
Romania,Europe,3409997,17642.018,0,0,0,68253,353.115,0,0,0
Sweden,Europe,2712743,26266.953,0,0,0,24536,237.577,0,0,0
Serbia,Europe,2544952,36741.163,211,3.046,0,18057,260.687,0,0,0
Singapore,Western Pacific,2534940,43329.775,0,0,0,1872,31.998,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2364304,49029.236,3869,80.233,0,3229,66.961,0,0,0
Hungary,Europe,2203315,22552.937,0,0,0,48800,499.512,0,0,0
Bangladesh,South-East Asia,2044861,1241.647,297,0.18,0,29475,17.897,2,0.001,0
Slovakia,Europe,1866857,34204.845,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1848357,46334.317,0,0,0,17116,429.061,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1715065,34546.998,145,2.921,0,9125,183.807,16,0.322,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1486483,27693.728,182,3.391,0,5620,104.703,7,0.13,0
Finland,Europe,1483389,26847.251,0,0,0,10087,182.56,0,0,0
Slovenia,Europe,1344653,64157.547,0,0,0,9430,449.934,0,0,0
Lithuania,Europe,1322066,47316.515,118,4.223,0,9694,346.947,1,0.036,0
Bulgaria,Europe,1299024,18687.008,0,0,0,38397,552.357,0,0,0
Morocco,Eastern Mediterranean,1275293,3455.09,20,0.054,0,16297,44.153,0,0,0
Croatia,Europe,1274123,31396.53,0,0,0,18286,450.598,0,0,0
Guatemala,Americas,1271061,7094.729,0,0,0,20235,112.946,0,0,0
Puerto Rico,Americas,1252713,43788.094,0,0,0,5938,207.56,0,0,0
Costa Rica,Americas,1238883,24319.872,0,0,0,9428,185.076,0,0,0
Lebanon,Eastern Mediterranean,1238552,18146.099,0,0,0,10936,160.224,0,0,0
Bolivia (Plurinational State of),Americas,1206420,10335.114,0,0,0,22399,191.887,0,0,0
Tunisia,Eastern Mediterranean,1153361,9758.847,0,0,0,29423,248.955,0,0,0
Cuba,Americas,1115064,9844.635,0,0,0,8530,75.309,0,0,0
Ecuador,Americas,1069114,6059.688,0,0,0,36042,204.284,0,0,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0,0,2349,23.75,0,0,0
Panama,Americas,1047321,24272.945,0,0,0,8652,200.521,0,0,0
Uruguay,Americas,1038774,29903.706,0,0,0,7634,219.764,0,0,0
Mongolia,Western Pacific,1010954,30837.845,0,0,0,2284,69.67,0,0,0
Nepal,South-East Asia,1003398,3443.747,2,0.007,0,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,975812,51151.9,0,0,0,7373,386.491,0,0,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,832036,8206.151,15,0.148,0,10293,101.517,3,0.03,0
Paraguay,Americas,735759,10315.529,0,0,0,19961,279.858,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672569,3140.901,0,0,0,16882,78.839,2,0.009,0
Dominican Republic,Americas,667048,6149.092,0,0,0,4384,40.413,0,0,0
Kuwait,Eastern Mediterranean,666021,15595.596,10,0.234,0,2570,60.179,0,0,0
Cyprus,Europe,660854,74420.076,0,0,0,1364,153.603,0,0,0
Myanmar,South-East Asia,641100,1178.28,26,0.048,0,19494,35.828,0,0,0
Republic of Moldova,Europe,620848,15390.523,0,0,0,12125,300.573,0,0,0
Estonia,Europe,601746,45278.922,0,0,0,2900,218.213,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,516023,504.252,0,0,0,24830,24.264,0,0,0
Qatar,Eastern Mediterranean,514524,17858.887,0,0,0,690,23.95,0,0,0
Libya,Eastern Mediterranean,507266,7382.396,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,500946,435.743,0,0,0,7574,6.588,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,474566,4791.366,0,0,0,11127,112.342,0,0,0
Armenia,Europe,449293,15162.252,11,0.371,0,8751,295.319,0,0,0
Bosnia and Herzegovina,Europe,403053,12285.149,0,0,0,16352,498.413,0,0,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
Luxembourg,Europe,383019,61174.59,0,0,0,1000,159.717,0,0,0
Zambia,Africa,349287,1899.956,0,0,0,4069,22.133,0,0,0
North Macedonia,Europe,348374,16721.577,0,0,0,9941,477.157,0,0,0
Kenya,Africa,343918,639.594,0,0,0,5689,10.58,0,0,0
Albania,Europe,334090,11609.215,0,0,0,3604,125.235,0,0,0
Botswana,Africa,330194,14041.087,0,0,0,2800,119.067,0,0,0
Brunei Darussalam,Western Pacific,310106,70884.774,0,0,0,163,37.259,0,0,0
Mauritius,Africa,308824,24283.045,0,0,0,1053,82.798,0,0,0
Kosovo[1],Europe,273922,15254.619,4,0.223,0,3209,178.708,0,0,0
Algeria,Africa,271852,619.944,0,0,0,6881,15.692,0,0,0
Nigeria,Africa,266675,129.366,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,265693,1787.623,0,0,0,5712,38.431,0,0,0
Montenegro,Europe,251133,39985.384,0,0,0,2654,422.57,0,0,0
Mozambique,Africa,233417,746.805,0,0,0,2243,7.176,0,0,0
Martinique,Americas,230354,61384.355,0,0,0,1104,294.192,0,0,0
Afghanistan,Eastern Mediterranean,224419,576.493,114,0.293,0,7938,20.391,2,0.005,0
Lao People's Democratic Republic,Western Pacific,218762,3006.806,8,0.11,0,671,9.223,0,0,0
Iceland,Europe,208814,57345.373,0,0,0,186,51.08,0,0,0
Guadeloupe,Americas,203235,50793.004,0,0,0,1021,255.171,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,191496,13683.29,0,0,0,4390,313.686,0,0,0
Maldives,South-East Asia,186687,34536.874,0,0,0,316,58.46,0,0,0
Namibia,Africa,171998,6769.163,0,0,0,4098,161.281,0,0,0
Uganda,Africa,171729,375.438,0,0,0,3632,7.94,0,0,0
Uzbekistan,Europe,171711,513.042,0,0,0,1016,3.036,0,0,0
Ghana,Africa,171653,552.42,0,0,0,1462,4.705,0,0,0
Jamaica,Americas,155860,5263.465,0,0,0,3596,121.439,0,0,0
Cambodia,Western Pacific,138940,831.032,2,0.012,0,3056,18.279,0,0,0
Rwanda,Africa,133194,1028.349,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,125090,471.222,0,0,0,1974,7.436,0,0,0
Malta,Europe,119423,23208.58,0,0,0,872,169.464,0,0,0
Barbados,Americas,109503,38104.567,0,0,0,620,215.746,0,0,0
Angola,Africa,105384,320.645,0,0,0,1934,5.884,0,0,0
French Guiana,Americas,98041,32824.542,0,0,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,97697,109.084,0,0,0,1468,1.639,0,0,0
Senegal,Africa,89014,531.62,0,0,0,1971,11.771,0,0,0
Malawi,Africa,88835,464.376,0,0,0,2686,14.041,0,0,0
Côte d’Ivoire,Africa,88338,334.889,0,0,0,835,3.165,0,0,0
